ffffcc	fff2c8	ffdfc8	fdefff
ffff99	ffeda2	ffdaad	ffeaf9
ffff66	ffea86	ffd79d	ffe6f5
ffff33	ffe975	ffd594	ffe5f3
ffff00	ffe871	ffd592	ffe4f2
ffccff	cfd7ff	e1d8fd	fbd1e1
ffcccc	ded8d2	f1d2cb	ffcad8
ffcc99	e5d69d	fccd99	ffc4d1
ffcc66	e9d469	ffca6f	ffc0cd
ffcc33	ecd435	ffc857	ffbfca
ffcc00	ecd30f	ffc750	ffbeca
ff99ff	aabdff	b0bcf9	f6a9b5
ff99cc	b1b8e0	c5b5c7	fc9faa
ff9999	bdb6a8	d2b095	ff99a2
ff9966	c4b470	daac62	ff959e
ff9933	c7b43a	deab2a	ff949d
ff9900	c8b317	dfaa00	ff949c
ff66ff	98b2ff	85a7f5	f28791
ff66cc	82a0f6	a09fc3	f87981
ff6699	999db9	b19992	fd6e74
ff6666	a59b7c	bb955e	ff666c
ff6633	aa9a42	bf9322	ff656a
ff6600	ac9a1e	c09300	ff6569
ff33ff	96b1ff	679bf2	f07178
ff33cc	779dff	8a92c1	f75e63
ff3399	7a8ece	9d8b8f	fb4c4f
ff3366	8f8c8b	a7875c	fe3d3e
ff3333	988b4a	ad841c	ff3332
ff3300	9a8b23	ae8600	ff3331
ff00ff	96b1ff	5e98f1	f06a71
ff00cc	7ba0ff	838fc0	f6555a
ff0099	6e89d7	97888e	fa4042
ff0066	888892	a2835b	fd2b28
ff0033	93874e	a8801a	fe1a00
ff0000	968726	a98200	fe1c00
ccffff	f8f4f8	ffeafd	cbefff
ccffcc	fff1c5	ffdecc	d3efff
ccff99	ffeb97	ffd8ab	d9eeff
ccff66	ffe873	ffd497	ddeeff
ccff33	ffe75c	ffd38c	e0eeff
ccff00	ffe655	ffd389	e0eeff
ccccff	c4ceff	cbccff	c6d1e1
cccccc	cfcbcb	dec6cd	cecad9
cccc99	d7c997	eac19b	d3c4d3
cccc66	dbc764	f1be6a	d7c1cf
cccc33	ddc631	f5bc3b	d8bfcd
cccc00	ddc600	f6c600	d9becc
cc99ff	98b1ff	8faefb	bfa9b6
cc99cc	9ea8d7	aaa7c9	c79fab
cc9999	aaa5a0	baa198	cd98a2
cc9966	b1a46a	c49d65	d0929d
cc9933	b5a336	c99b32	d2909a
cc9900	b5a20e	ca9a00	d38f99
cc66ff	87a7ff	4c97f6	bb8791
cc66cc	648ceb	7b8dc5	c37982
cc6699	7f88af	918694	c96e75
cc6666	8c8675	9e8161	cc656c
cc6633	92853c	a47e2b	ce6067
cc6600	948415	a67f00	cf5f65
cc33ff	8aaaff	008def	b87178
cc33cc	4387ff	577ec2	c15e64
cc3399	5275c8	767591	c64c50
cc3366	707387	856f5f	ca3d3f
cc3333	7b7146	8c6c27	cc3334
cc3300	7e711b	8f6d00	cc3030
cc00ff	8cabff	008cec	b76a71
cc00cc	5d91ff	4b7ac0	c0555a
cc0099	356fd5	6e7190	c64043
cc0066	646d90	7e6a5e	ca2b2b
cc0033	746c4c	856726	cb170b
cc0000	786c1e	886900	cc1600
99ffff	efecf4	f4e4ff	a6efff
99ffcc	f7e9c1	ffddd0	acefff
99ff99	fbe790	ffd6a9	b0eeff
99ff66	fee65e	ffd291	b4eeff
99ff33	ffe532	ffd184	b5edff
99ff00	ffe41c	ffd080	b6edff
99ccff	b9c5fa	b9c4ff	91d1e1
99cccc	c4c1c6	cebdcf	9ccad9
99cc99	cbbf93	dbb89d	a3c4d3
99cc66	cfbd61	e4b56c	a8c1cf
99cc33	d1bc2f	e8b33f	aabfcd
99cc00	d2bc00	e9b22a	abbecd
9999ff	83a4ff	6fa4fd	86a9b6
9999cc	8f9cce	929bcc	929fab
999999	9b9899	a6949a	9a97a3
999966	a29665	b29068	9f929d
999933	a59532	b78e37	a2909a
999900	a69500	a69500	a28f99
9966ff	709bff	0090f3	7e8791
9966cc	497bdf	507fc7	8c7982
996699	6a77a5	737696	946d75
996666	78746d	847064	9a656c
996633	7e7237	8c6d31	9c6067
996600	7f720d	8e6c00	9d5f66
